state,level,gender,out_turn
Jharkhand,PG Diploma,Female,100
Jharkhand,PG Diploma,Total,379
Jharkhand,Diploma,Male,9058
Jharkhand,Diploma,Female,5102
Jharkhand,Diploma,Total,14160
Jharkhand,Certificate,Male,269
Jharkhand,Certificate,Female,158
Jharkhand,Certificate,Total,427
Jharkhand,Integrated,Male,286
Jharkhand,Integrated,Female,165
Jharkhand,Integrated,Total,451
Karnataka,Ph.D.,Male,1655
Karnataka,Ph.D.,Female,1259
Karnataka,Ph.D.,Total,2914
Karnataka,M.Phil.,Male,35
Karnataka,M.Phil.,Female,110
Karnataka,M.Phil.,Total,145
Karnataka,Post Graduate,Male,40032
Karnataka,Post Graduate,Female,53730
Karnataka,Post Graduate,Total,93762
Karnataka,Under Graduate,Male,196854
Karnataka,Under Graduate,Female,222467
Karnataka,Under Graduate,Total,419321
Karnataka,PG Diploma,Male,2673
Karnataka,PG Diploma,Female,1996
Karnataka,PG Diploma,Total,4669
Karnataka,Diploma,Male,73330
Karnataka,Diploma,Female,43138
Karnataka,Diploma,Total,116468
Karnataka,Certificate,Male,968
Karnataka,Certificate,Female,1133
Karnataka,Certificate,Total,2101
Karnataka,Integrated,Male,817
Karnataka,Integrated,Female,875
Karnataka,Integrated,Total,1692
Kerala,Ph.D.,Male,1298
Kerala,Ph.D.,Female,1179
Kerala,Ph.D.,Total,2477
Kerala,M.Phil.,Male,117
Kerala,M.Phil.,Female,363
Kerala,M.Phil.,Total,480
Kerala,Post Graduate,Male,15823
Kerala,Post Graduate,Female,39021
Kerala,Post Graduate,Total,54844
Kerala,Under Graduate,Male,52012
Kerala,Under Graduate,Female,105980
Kerala,Under Graduate,Total,157992
Kerala,PG Diploma,Male,794
Kerala,PG Diploma,Female,910
Kerala,PG Diploma,Total,1704
Kerala,Diploma,Male,17934
Kerala,Diploma,Female,7653
Kerala,Diploma,Total,25587
Kerala,Certificate,Male,278
Kerala,Certificate,Female,222
Kerala,Certificate,Total,500
Kerala,Integrated,Male,478
Kerala,Integrated,Female,807
Kerala,Integrated,Total,1285
Ladakh,Ph.D.,Male,0
Ladakh,Ph.D.,Female,0
Ladakh,Ph.D.,Total,0
Ladakh,M.Phil.,Male,0
Ladakh,M.Phil.,Female,0
Ladakh,M.Phil.,Total,0
Ladakh,Post Graduate,Male,50
Ladakh,Post Graduate,Female,54
Ladakh,Post Graduate,Total,104
Ladakh,Under Graduate,Male,49
Ladakh,Under Graduate,Female,176
Ladakh,Under Graduate,Total,225
Ladakh,PG Diploma,Male,0
Ladakh,PG Diploma,Female,0
Ladakh,PG Diploma,Total,0
Ladakh,Diploma,Male,155
Ladakh,Diploma,Female,50
Ladakh,Diploma,Total,205
Ladakh,Certificate,Male,0
Ladakh,Certificate,Female,0
Ladakh,Certificate,Total,0
Ladakh,Integrated,Male,0
Ladakh,Integrated,Female,0
Ladakh,Integrated,Total,0
Lakshadweep,Ph.D.,Male,0
Lakshadweep,Ph.D.,Female,0
Lakshadweep,Ph.D.,Total,0
