program,level,year,approved_intake,enrolled,passed,placed,institutions,girls,boys,faculties
Architecture,UG,2013-14,,,,,0,,,0
Architecture,UG,2014-15,,,,,0,,,0
Architecture,UG,2015-16,9917,4726,2482,816,112,2396,2330,
Architecture,UG,2016-17,8937,4699,2823,1088,110,2352,2347,482
Architecture,UG,2017-18,8436,3867,3245,1297,111,1993,1874,1211
Architecture,UG,2018-19,9786,5550,3693,1847,133,2938,2612,2859
Architecture,UG,2019-20,,,,,0,,,0
Architecture,UG,2020-21,,,,,0,,,0
Architecture,UG,2021-22,,,,,0,,,0
Architecture,UG,2022-23,,,,,0,,,0
Hotel Management and Catering,UG,2012-13,6280,2938,2328,1652,80,419,2519,1186
Hotel Management and Catering,UG,2013-14,6520,3351,2285,1778,81,369,2982,1349
Hotel Management and Catering,UG,2014-15,6340,3918,2219,1721,77,461,3457,1478
Hotel Management and Catering,UG,2015-16,6268,4147,2209,1654,76,569,3578,1461
Hotel Management and Catering,UG,2016-17,6043,4036,2659,1846,74,584,3452,1442
Hotel Management and Catering,UG,2017-18,5965,4261,2491,2061,75,659,3602,1367
Hotel Management and Catering,UG,2018-19,5709,4010,2642,2221,73,604,3406,1220
Hotel Management and Catering,UG,2019-20,6454,3808,2238,2026,78,713,3095,1441
Hotel Management and Catering,UG,2020-21,6972,2844,811,1725,79,494,2350,1501
Hotel Management and Catering,UG,2021-22,7672,2649,1906,1922,88,590,2057,
Hotel Management and Catering,UG,2022-23,7752,248,0,306,91,44,186,
