inst_type,institute_name,state,nirf_id,top_200_nirf,placement_rate_pct,median_salary_lakh,expected_salary_lakh,source_link,year_updated
IIIT,Indian Institute Of Information Technology Raichur,Karnataka,,No,,,0.0,Data not available,
IIIT,Indian Institute Of Information Technology Vadodara International Campus Diu,The Dadra and Nagar Haveli and Daman and Diu,,,,,,,
IIT,Indian Institute Of Technology Delhi,Delhi,IR-E-I-1074,Yes,100.0,20.5,20.5,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-I-1074.pdf,2023.0
IIT,Indian Institute Of Technology Patna,Bihar,IR-E-U-0064,Yes,100.0,20.0,20.0,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0064.pdf,2023.0
IIT,Indian Institute Of Technology Bombay,Maharashtra,IR-E-U-0306,Yes,100.0,18.8,18.8,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0306.pdf,2023.0
IIT,Indian Institute Of Technology Roorkee,Uttarakhand,IR-E-U-0560,Yes,100.0,17.0,17.0,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0560.pdf,2023.0
IIT,Indian Institute Of Technology Jodhpur,Rajasthan,IR-E-U-0395,Yes,100.0,15.0,15.0,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0395.pdf,2023.0
IIT,Indian Institute Of Technology Kanpur,Uttar Pradesh,IR-E-I-1075,Yes,99.4,22.07,21.93,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-I-1075.pdf,2023.0
IIT,Indian Institute Of Technology Bhubaneswar,Odisha,IR-E-U-0355,Yes,98.7,15.0,14.81,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0355.pdf,2023.0
IIT,Indian Institute Of Technology Mandi,Himachal Pradesh,IR-E-U-0184,Yes,96.9,21.0,20.35,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0184.pdf,2023.0
IIT,Indian Institute Of Technology Guwahati,Assam,IR-E-U-0053,Yes,96.2,22.5,21.64,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0053.pdf,2023.0
IIT,Indian Institute Of Technology (Banaras Hindu University) Varanasi,Uttar Pradesh,IR-E-U-0701,Yes,95.9,16.0,15.34,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0701.pdf,2023.0
IIT,Indian Institute Of Technology Madras,Tamil Nadu,IR-E-U-0456,Yes,95.8,17.0,16.29,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0456.pdf,2023.0
IIT,Indian Institute Of Technology Tirupati,Andhra Pradesh,IR-E-U-0844,Yes,94.0,12.1,11.38,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0844.pdf,2023.0
IIT,Indian Institute Of Technology Kharagpur,West Bengal,IR-E-U-0573,Yes,93.8,18.85,17.68,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0573.pdf,2023.0
IIT,Indian Institute Of Technology Goa,Goa,IR-E-U-0907,No,91.2,16.0,14.6,https://iitgoa.ac.in/wp-content/uploads/Indian-Institute-of-Technology-Goa20250326-NIRF.pdf,2023.0
IIT,Indian Institute Of Technology Hyderabad,Telangana,IR-E-U-0013,Yes,91.0,21.0,19.11,https://www.iith.ac.in/assets/files/NIRF-Reports/Indian%20Institute%20of%20Technology%20Hyderabad-Engineering%202024.pdf,2024.0
IIT,Indian Institute Of Technology (Indian School Of Mines) Dhanbad,Jharkhand,IR-E-U-0205,Yes,90.9,15.0,13.64,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0205.pdf,2023.0
IIT,Indian Institute Of Technology Indore,Madhya Pradesh,IR-E-U-0273,Yes,90.1,18.5,16.67,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0273.pdf,2023.0
IIT,Indian Institute Of Technology Bhilai,Chhattisgarh,IR-E-U-0946,Yes,87.1,14.0,12.19,https://www.iitbhilai.ac.in/index.php?pid=report_engineering_2024,2023.0
IIT,Indian Institute Of Technology Ropar,Punjab,IR-E-U-0378,Yes,86.7,17.14,14.87,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0378.pdf,2023.0
IIT,Indian Institute Of Technology Palakkad,Kerala,IR-E-U-0878,Yes,82.3,12.0,9.88,https://www.nirfindia.org/nirfpdfcdn/2023/pdf/Engineering/IR-E-U-0878.pdf,2023.0
IIT,Indian Institute Of Technology Jammu,Jammu and Kashmir,IR-E-U-0906,Yes,79.5,16.0,12.72,https://iitjammu.ac.in/nirf/Indian%20Institute%20of%20Technology%20Jammu20250221.pdf,
