target_year,metric,discipline,gender,value_estimate,method,slope_per_year,base_year,base_year_value,years_extrapolated,growth_pct_total
2025-26,enrolment,Footwear  Design,Male,1732,linear fit on 3 years (2019-22),182.0,2021-22,1007,4,72.0
2024-25,enrolment,Footwear  Design,Total,3796,linear fit on 3 years (2019-22),475.0,2021-22,2360,3,60.8
2025-26,enrolment,Footwear  Design,Total,4271,linear fit on 3 years (2019-22),475.0,2021-22,2360,4,81.0
2024-25,enrolment,Foreign Language,Female,145915,linear fit on 3 years (2019-22),11785.0,2021-22,113451,3,28.6
2025-26,enrolment,Foreign Language,Female,157700,linear fit on 3 years (2019-22),11785.0,2021-22,113451,4,39.0
2024-25,enrolment,Foreign Language,Male,123426,linear fit on 3 years (2019-22),10955.5,2021-22,93263,3,32.3
2025-26,enrolment,Foreign Language,Male,134382,linear fit on 3 years (2019-22),10955.5,2021-22,93263,4,44.1
2024-25,enrolment,Foreign Language,Total,269341,linear fit on 3 years (2019-22),22740.5,2021-22,206714,3,30.3
2025-26,enrolment,Foreign Language,Total,292082,linear fit on 3 years (2019-22),22740.5,2021-22,206714,4,41.3
2024-25,enrolment,Gandhian Studies,Female,706,linear fit on 3 years (2019-22),88.0,2021-22,469,3,50.5
2025-26,enrolment,Gandhian Studies,Female,794,linear fit on 3 years (2019-22),88.0,2021-22,469,4,69.2
2024-25,enrolment,Gandhian Studies,Male,675,linear fit on 3 years (2019-22),124.5,2021-22,338,3,99.7
2025-26,enrolment,Gandhian Studies,Male,800,linear fit on 3 years (2019-22),124.5,2021-22,338,4,136.5
2024-25,enrolment,Gandhian Studies,Total,1381,linear fit on 3 years (2019-22),212.5,2021-22,807,3,71.1
2025-26,enrolment,Gandhian Studies,Total,1593,linear fit on 3 years (2019-22),212.5,2021-22,807,4,97.4
2024-25,enrolment,Home Science,Female,91260,linear fit on 3 years (2019-22),5152.0,2021-22,77585,3,17.6
2025-26,enrolment,Home Science,Female,96412,linear fit on 3 years (2019-22),5152.0,2021-22,77585,4,24.3
2024-25,enrolment,Home Science,Male,3392,linear fit on 3 years (2019-22),-1170.5,2021-22,7414,3,-54.2
2025-26,enrolment,Home Science,Male,2222,linear fit on 3 years (2019-22),-1170.5,2021-22,7414,4,-70.0
2024-25,enrolment,Home Science,Total,94652,linear fit on 3 years (2019-22),3981.5,2021-22,84999,3,11.4
2025-26,enrolment,Home Science,Total,98633,linear fit on 3 years (2019-22),3981.5,2021-22,84999,4,16.0
2024-25,enrolment,Hospitality and Tourism,Female,7001,linear fit on 3 years (2019-22),681.5,2021-22,4741,3,47.7
2025-26,enrolment,Hospitality and Tourism,Female,7682,linear fit on 3 years (2019-22),681.5,2021-22,4741,4,62.0
2024-25,enrolment,Hospitality and Tourism,Male,24315,linear fit on 3 years (2019-22),2190.0,2021-22,17010,3,42.9
2025-26,enrolment,Hospitality and Tourism,Male,26505,linear fit on 3 years (2019-22),2190.0,2021-22,17010,4,55.8
2024-25,enrolment,Hospitality and Tourism,Total,31316,linear fit on 3 years (2019-22),2871.5,2021-22,21751,3,44.0
2025-26,enrolment,Hospitality and Tourism,Total,34187,linear fit on 3 years (2019-22),2871.5,2021-22,21751,4,57.2
2024-25,enrolment,IT & Computer,Female,415888,linear fit on 3 years (2019-22),20531.5,2021-22,348928,3,19.2
2025-26,enrolment,IT & Computer,Female,436419,linear fit on 3 years (2019-22),20531.5,2021-22,348928,4,25.1
2024-25,enrolment,IT & Computer,Male,763374,linear fit on 3 years (2019-22),59851.0,2021-22,579083,3,31.8
2025-26,enrolment,IT & Computer,Male,823225,linear fit on 3 years (2019-22),59851.0,2021-22,579083,4,42.2
2024-25,enrolment,IT & Computer,Total,1179261,linear fit on 3 years (2019-22),80382.5,2021-22,928011,3,27.1
2025-26,enrolment,IT & Computer,Total,1259644,linear fit on 3 years (2019-22),80382.5,2021-22,928011,4,35.7
2024-25,enrolment,Indian Language,Female,233557,linear fit on 3 years (2019-22),6523.5,2021-22,220743,3,5.8
2025-26,enrolment,Indian Language,Female,240080,linear fit on 3 years (2019-22),6523.5,2021-22,220743,4,8.8
2024-25,enrolment,Indian Language,Male,156657,linear fit on 3 years (2019-22),9110.5,2021-22,134853,3,16.2
2025-26,enrolment,Indian Language,Male,165767,linear fit on 3 years (2019-22),9110.5,2021-22,134853,4,22.9
2024-25,enrolment,Indian Language,Total,390214,linear fit on 3 years (2019-22),15634.0,2021-22,355596,3,9.7
2025-26,enrolment,Indian Language,Total,405848,linear fit on 3 years (2019-22),15634.0,2021-22,355596,4,14.1
2024-25,enrolment,Journalism & Mass Communication,Female,18613,linear fit on 3 years (2019-22),664.0,2021-22,16392,3,13.6
2025-26,enrolment,Journalism & Mass Communication,Female,19277,linear fit on 3 years (2019-22),664.0,2021-22,16392,4,17.6
2024-25,enrolment,Journalism & Mass Communication,Male,20773,linear fit on 3 years (2019-22),1196.5,2021-22,17087,3,21.6
2025-26,enrolment,Journalism & Mass Communication,Male,21969,linear fit on 3 years (2019-22),1196.5,2021-22,17087,4,28.6
2024-25,enrolment,Journalism & Mass Communication,Total,39386,linear fit on 3 years (2019-22),1860.5,2021-22,33479,3,17.6
2025-26,enrolment,Journalism & Mass Communication,Total,41246,linear fit on 3 years (2019-22),1860.5,2021-22,33479,4,23.2
2024-25,enrolment,Law,Female,225671,linear fit on 3 years (2019-22),15980.0,2021-22,177658,3,27.0
2025-26,enrolment,Law,Female,241651,linear fit on 3 years (2019-22),15980.0,2021-22,177658,4,36.0
2024-25,enrolment,Law,Male,449807,linear fit on 3 years (2019-22),32772.5,2021-22,352791,3,27.5
2025-26,enrolment,Law,Male,482580,linear fit on 3 years (2019-22),32772.5,2021-22,352791,4,36.8
2024-25,enrolment,Law,Total,675478,linear fit on 3 years (2019-22),48752.5,2021-22,530449,3,27.3
2025-26,enrolment,Law,Total,724231,linear fit on 3 years (2019-22),48752.5,2021-22,530449,4,36.5
2024-25,enrolment,Library & Information Science,Female,35586,linear fit on 3 years (2019-22),3260.5,2021-22,26448,3,34.6
2025-26,enrolment,Library & Information Science,Female,38846,linear fit on 3 years (2019-22),3260.5,2021-22,26448,4,46.9
2024-25,enrolment,Library & Information Science,Male,57665,linear fit on 3 years (2019-22),7444.0,2021-22,34747,3,66.0
2025-26,enrolment,Library & Information Science,Male,65109,linear fit on 3 years (2019-22),7444.0,2021-22,34747,4,87.4
2024-25,enrolment,Library & Information Science,Total,93251,linear fit on 3 years (2019-22),10704.5,2021-22,61195,3,52.4
2025-26,enrolment,Library & Information Science,Total,103956,linear fit on 3 years (2019-22),10704.5,2021-22,61195,4,69.9
2024-25,enrolment,Linguistics,Female,0,linear fit on 3 years (2019-22),-6886.0,2021-22,4963,3,-100.0
2025-26,enrolment,Linguistics,Female,0,linear fit on 3 years (2019-22),-6886.0,2021-22,4963,4,-100.0
2024-25,enrolment,Linguistics,Male,0,linear fit on 3 years (2019-22),-3062.0,2021-22,2856,3,-100.0
2025-26,enrolment,Linguistics,Male,0,linear fit on 3 years (2019-22),-3062.0,2021-22,2856,4,-100.0
2024-25,enrolment,Linguistics,Total,0,linear fit on 3 years (2019-22),-9948.0,2021-22,7819,3,-100.0
2025-26,enrolment,Linguistics,Total,0,linear fit on 3 years (2019-22),-9948.0,2021-22,7819,4,-100.0
2024-25,enrolment,Management,Female,422809,linear fit on 3 years (2019-22),31092.0,2021-22,329457,3,28.3
2025-26,enrolment,Management,Female,453901,linear fit on 3 years (2019-22),31092.0,2021-22,329457,4,37.8
2024-25,enrolment,Management,Male,754020,linear fit on 3 years (2019-22),60965.0,2021-22,568069,3,32.7
2025-26,enrolment,Management,Male,814985,linear fit on 3 years (2019-22),60965.0,2021-22,568069,4,43.5
2024-25,enrolment,Management,Total,1176830,linear fit on 3 years (2019-22),92057.0,2021-22,897526,3,31.1
2025-26,enrolment,Management,Total,1268887,linear fit on 3 years (2019-22),92057.0,2021-22,897526,4,41.4
2024-25,enrolment,Marine Science / Oceanography,Female,293,linear fit on 3 years (2019-22),25.0,2021-22,187,3,56.5
2025-26,enrolment,Marine Science / Oceanography,Female,318,linear fit on 3 years (2019-22),25.0,2021-22,187,4,69.9
2024-25,enrolment,Marine Science / Oceanography,Male,1459,linear fit on 3 years (2019-22),39.0,2021-22,1368,3,6.7
2025-26,enrolment,Marine Science / Oceanography,Male,1498,linear fit on 3 years (2019-22),39.0,2021-22,1368,4,9.5
2024-25,enrolment,Marine Science / Oceanography,Total,1752,linear fit on 3 years (2019-22),64.0,2021-22,1555,3,12.7
2025-26,enrolment,Marine Science / Oceanography,Total,1816,linear fit on 3 years (2019-22),64.0,2021-22,1555,4,16.8
2024-25,enrolment,Medical Science,Female,1251420,linear fit on 3 years (2019-22),89348.5,2021-22,983299,3,27.3
2025-26,enrolment,Medical Science,Female,1340769,linear fit on 3 years (2019-22),89348.5,2021-22,983299,4,36.4
2024-25,enrolment,Medical Science,Male,983768,linear fit on 3 years (2019-22),87443.0,2021-22,722402,3,36.2
2025-26,enrolment,Medical Science,Male,1071211,linear fit on 3 years (2019-22),87443.0,2021-22,722402,4,48.3
2024-25,enrolment,Medical Science,Total,2235188,linear fit on 3 years (2019-22),176791.5,2021-22,1705701,3,31.0
2025-26,enrolment,Medical Science,Total,2411980,linear fit on 3 years (2019-22),176791.5,2021-22,1705701,4,41.4
2024-25,enrolment,Oriental Learning,Female,18071,linear fit on 3 years (2019-22),-1978.5,2021-22,24261,3,-25.5
2025-26,enrolment,Oriental Learning,Female,16092,linear fit on 3 years (2019-22),-1978.5,2021-22,24261,4,-33.7
2024-25,enrolment,Oriental Learning,Male,35019,linear fit on 3 years (2019-22),-371.5,2021-22,36480,3,-4.0
2025-26,enrolment,Oriental Learning,Male,34647,linear fit on 3 years (2019-22),-371.5,2021-22,36480,4,-5.0
2024-25,enrolment,Oriental Learning,Total,53090,linear fit on 3 years (2019-22),-2350.0,2021-22,60741,3,-12.6
2025-26,enrolment,Oriental Learning,Total,50740,linear fit on 3 years (2019-22),-2350.0,2021-22,60741,4,-16.5
2024-25,enrolment,Paramedical Science,Female,64256,linear fit on 3 years (2019-22),11128.0,2021-22,30540,3,110.4
2025-26,enrolment,Paramedical Science,Female,75384,linear fit on 3 years (2019-22),11128.0,2021-22,30540,4,146.8
2024-25,enrolment,Paramedical Science,Male,73406,linear fit on 3 years (2019-22),12758.5,2021-22,34742,3,111.3
2025-26,enrolment,Paramedical Science,Male,86164,linear fit on 3 years (2019-22),12758.5,2021-22,34742,4,148.0
2024-25,enrolment,Paramedical Science,Total,137662,linear fit on 3 years (2019-22),23886.5,2021-22,65282,3,110.9
2025-26,enrolment,Paramedical Science,Total,161548,linear fit on 3 years (2019-22),23886.5,2021-22,65282,4,147.5
2024-25,enrolment,Physical Education,Female,26293,linear fit on 3 years (2019-22),1891.5,2021-22,20387,3,29.0
2025-26,enrolment,Physical Education,Female,28184,linear fit on 3 years (2019-22),1891.5,2021-22,20387,4,38.2
2024-25,enrolment,Physical Education,Male,62785,linear fit on 3 years (2019-22),4640.0,2021-22,48524,3,29.4
2025-26,enrolment,Physical Education,Male,67425,linear fit on 3 years (2019-22),4640.0,2021-22,48524,4,39.0
2024-25,enrolment,Physical Education,Total,89078,linear fit on 3 years (2019-22),6531.5,2021-22,68911,3,29.3
2025-26,enrolment,Physical Education,Total,95610,linear fit on 3 years (2019-22),6531.5,2021-22,68911,4,38.7
2024-25,enrolment,Religious Studies,Female,2462,linear fit on 3 years (2019-22),-19.0,2021-22,2482,3,-0.8
2025-26,enrolment,Religious Studies,Female,2443,linear fit on 3 years (2019-22),-19.0,2021-22,2482,4,-1.6
2024-25,enrolment,Religious Studies,Male,5898,linear fit on 3 years (2019-22),711.5,2021-22,4133,3,42.7
2025-26,enrolment,Religious Studies,Male,6609,linear fit on 3 years (2019-22),711.5,2021-22,4133,4,59.9
2024-25,enrolment,Religious Studies,Total,8359,linear fit on 3 years (2019-22),692.5,2021-22,6615,3,26.4
2025-26,enrolment,Religious Studies,Total,9052,linear fit on 3 years (2019-22),692.5,2021-22,6615,4,36.8
2024-25,enrolment,Science,Female,2560434,linear fit on 3 years (2019-22),18332.5,2021-22,2496376,3,2.6
2025-26,enrolment,Science,Female,2578766,linear fit on 3 years (2019-22),18332.5,2021-22,2496376,4,3.3
2024-25,enrolment,Science,Male,2596193,linear fit on 3 years (2019-22),63188.0,2021-22,2422049,3,7.2
2025-26,enrolment,Science,Male,2659381,linear fit on 3 years (2019-22),63188.0,2021-22,2422049,4,9.8
2024-25,enrolment,Science,Total,5156627,linear fit on 3 years (2019-22),81520.5,2021-22,4918425,3,4.8
2025-26,enrolment,Science,Total,5238148,linear fit on 3 years (2019-22),81520.5,2021-22,4918425,4,6.5
2024-25,enrolment,Social Science,Female,840411,linear fit on 3 years (2019-22),66533.5,2021-22,649105,3,29.5
2025-26,enrolment,Social Science,Female,906945,linear fit on 3 years (2019-22),66533.5,2021-22,649105,4,39.7
2024-25,enrolment,Social Science,Male,885691,linear fit on 3 years (2019-22),83760.5,2021-22,635523,3,39.4
2025-26,enrolment,Social Science,Male,969452,linear fit on 3 years (2019-22),83760.5,2021-22,635523,4,52.5
2024-25,enrolment,Social Science,Total,1726103,linear fit on 3 years (2019-22),150294.0,2021-22,1284628,3,34.4
2025-26,enrolment,Social Science,Total,1876397,linear fit on 3 years (2019-22),150294.0,2021-22,1284628,4,46.1
2024-25,enrolment,Social Work,Female,0,linear fit on 3 years (2019-22),-7093.0,2021-22,15623,3,-100.0
2025-26,enrolment,Social Work,Female,0,linear fit on 3 years (2019-22),-7093.0,2021-22,15623,4,-100.0
2024-25,enrolment,Social Work,Male,0,linear fit on 3 years (2019-22),-5931.0,2021-22,15447,3,-100.0
2025-26,enrolment,Social Work,Male,0,linear fit on 3 years (2019-22),-5931.0,2021-22,15447,4,-100.0
2024-25,enrolment,Social Work,Total,0,linear fit on 3 years (2019-22),-13024.0,2021-22,31070,3,-100.0
2025-26,enrolment,Social Work,Total,0,linear fit on 3 years (2019-22),-13024.0,2021-22,31070,4,-100.0
2024-25,enrolment,Veterinary & Animal Sciences,Female,12913,linear fit on 3 years (2019-22),900.0,2021-22,10261,3,25.8
2025-26,enrolment,Veterinary & Animal Sciences,Female,13813,linear fit on 3 years (2019-22),900.0,2021-22,10261,4,34.6
2024-25,enrolment,Veterinary & Animal Sciences,Male,17895,linear fit on 3 years (2019-22),960.0,2021-22,15057,3,18.8
2025-26,enrolment,Veterinary & Animal Sciences,Male,18855,linear fit on 3 years (2019-22),960.0,2021-22,15057,4,25.2
2024-25,enrolment,Veterinary & Animal Sciences,Total,30808,linear fit on 3 years (2019-22),1860.0,2021-22,25318,3,21.7
2025-26,enrolment,Veterinary & Animal Sciences,Total,32668,linear fit on 3 years (2019-22),1860.0,2021-22,25318,4,29.0
2024-25,enrolment,Women Studies,Female,0,linear fit on 3 years (2019-22),-1824.0,2021-22,1030,3,-100.0
2025-26,enrolment,Women Studies,Female,0,linear fit on 3 years (2019-22),-1824.0,2021-22,1030,4,-100.0
2024-25,enrolment,Women Studies,Male,0,linear fit on 3 years (2019-22),-24.0,2021-22,0,3,0
2025-26,enrolment,Women Studies,Male,0,linear fit on 3 years (2019-22),-24.0,2021-22,0,4,0
2024-25,enrolment,Women Studies,Total,0,linear fit on 3 years (2019-22),-1848.0,2021-22,1030,3,-100.0
2025-26,enrolment,Women Studies,Total,0,linear fit on 3 years (2019-22),-1848.0,2021-22,1030,4,-100.0
2024-25,out_turn,Agriculture,Female,23594,linear fit on 3 years (2019-22),1721.0,2021-22,19092,3,23.6
2025-26,out_turn,Agriculture,Female,25315,linear fit on 3 years (2019-22),1721.0,2021-22,19092,4,32.6
2024-25,out_turn,Agriculture,Male,58611,linear fit on 3 years (2019-22),4859.0,2021-22,44516,3,31.7
2025-26,out_turn,Agriculture,Male,63470,linear fit on 3 years (2019-22),4859.0,2021-22,44516,4,42.6
2024-25,out_turn,Agriculture,Total,82205,linear fit on 3 years (2019-22),6580.0,2021-22,63608,3,29.2
2025-26,out_turn,Agriculture,Total,88785,linear fit on 3 years (2019-22),6580.0,2021-22,63608,4,39.6
2024-25,out_turn,Area Studies,Female,0,linear fit on 3 years (2019-22),-1474.5,2021-22,4358,3,-100.0
2025-26,out_turn,Area Studies,Female,0,linear fit on 3 years (2019-22),-1474.5,2021-22,4358,4,-100.0
2024-25,out_turn,Area Studies,Male,0,linear fit on 3 years (2019-22),-1982.0,2021-22,3713,3,-100.0
2025-26,out_turn,Area Studies,Male,0,linear fit on 3 years (2019-22),-1982.0,2021-22,3713,4,-100.0
2024-25,out_turn,Area Studies,Total,0,linear fit on 3 years (2019-22),-3456.5,2021-22,8071,3,-100.0
2025-26,out_turn,Area Studies,Total,0,linear fit on 3 years (2019-22),-3456.5,2021-22,8071,4,-100.0
2024-25,out_turn,Arts,Female,1493331,linear fit on 3 years (2019-22),73304.0,2021-22,1305493,3,14.4
2025-26,out_turn,Arts,Female,1566635,linear fit on 3 years (2019-22),73304.0,2021-22,1305493,4,20.0
2024-25,out_turn,Arts,Male,1445261,linear fit on 3 years (2019-22),120634.0,2021-22,1110637,3,30.1
2025-26,out_turn,Arts,Male,1565895,linear fit on 3 years (2019-22),120634.0,2021-22,1110637,4,41.0
2024-25,out_turn,Arts,Total,2938592,linear fit on 3 years (2019-22),193938.0,2021-22,2416130,3,21.6
2025-26,out_turn,Arts,Total,3132530,linear fit on 3 years (2019-22),193938.0,2021-22,2416130,4,29.7
2024-25,out_turn,Commerce,Female,659860,linear fit on 3 years (2019-22),31990.5,2021-22,567971,3,16.2
2025-26,out_turn,Commerce,Female,691851,linear fit on 3 years (2019-22),31990.5,2021-22,567971,4,21.8
2024-25,out_turn,Commerce,Male,754857,linear fit on 3 years (2019-22),64814.5,2021-22,559773,3,34.9
2025-26,out_turn,Commerce,Male,819671,linear fit on 3 years (2019-22),64814.5,2021-22,559773,4,46.4
2024-25,out_turn,Commerce,Total,1414717,linear fit on 3 years (2019-22),96805.0,2021-22,1127744,3,25.4
2025-26,out_turn,Commerce,Total,1511522,linear fit on 3 years (2019-22),96805.0,2021-22,1127744,4,34.0
2024-25,out_turn,Criminology & Forensic Science,Female,180,linear fit on 3 years (2019-22),10.0,2021-22,186,3,-3.4
2025-26,out_turn,Criminology & Forensic Science,Female,190,linear fit on 3 years (2019-22),10.0,2021-22,186,4,2.0
