discipline,social_category,gender,out_turn
Journalism & Mass Communication,Other Minority Communities,Total,359
Journalism & Mass Communication,EWS,Male,65
Journalism & Mass Communication,EWS,Female,65
Journalism & Mass Communication,EWS,Total,130
Law,All Categories,Male,98330
Law,All Categories,Female,57310
Law,All Categories,Total,155640
Law,Scheduled Caste,Male,10883
Law,Scheduled Caste,Female,5871
Law,Scheduled Caste,Total,16754
Law,Scheduled Tribe,Male,2788
Law,Scheduled Tribe,Female,1896
Law,Scheduled Tribe,Total,4684
Law,Other Backward Classes,Male,24751
Law,Other Backward Classes,Female,12186
Law,Other Backward Classes,Total,36937
Law,Persons with Disability,Male,92
Law,Persons with Disability,Female,31
Law,Persons with Disability,Total,123
Law,Muslim,Male,3065
Law,Muslim,Female,1730
Law,Muslim,Total,4795
Law,Other Minority Communities,Male,1232
Law,Other Minority Communities,Female,1071
Law,Other Minority Communities,Total,2303
Law,EWS,Male,723
Law,EWS,Female,454
Law,EWS,Total,1177
Library & Information Science,All Categories,Male,12646
Library & Information Science,All Categories,Female,12788
Library & Information Science,All Categories,Total,25434
Library & Information Science,Scheduled Caste,Male,2097
Library & Information Science,Scheduled Caste,Female,1797
Library & Information Science,Scheduled Caste,Total,3894
Library & Information Science,Scheduled Tribe,Male,1027
Library & Information Science,Scheduled Tribe,Female,911
Library & Information Science,Scheduled Tribe,Total,1938
Library & Information Science,Other Backward Classes,Male,4821
Library & Information Science,Other Backward Classes,Female,4335
Library & Information Science,Other Backward Classes,Total,9156
Library & Information Science,Persons with Disability,Male,36
Library & Information Science,Persons with Disability,Female,8
Library & Information Science,Persons with Disability,Total,44
Library & Information Science,Muslim,Male,356
Library & Information Science,Muslim,Female,267
Library & Information Science,Muslim,Total,623
Library & Information Science,Other Minority Communities,Male,93
Library & Information Science,Other Minority Communities,Female,155
Library & Information Science,Other Minority Communities,Total,248
Library & Information Science,EWS,Male,175
Library & Information Science,EWS,Female,129
Library & Information Science,EWS,Total,304
Management,All Categories,Male,251642
Management,All Categories,Female,189535
Management,All Categories,Total,441177
Management,Scheduled Caste,Male,21057
Management,Scheduled Caste,Female,17153
Management,Scheduled Caste,Total,38210
Management,Scheduled Tribe,Male,5237
Management,Scheduled Tribe,Female,3784
Management,Scheduled Tribe,Total,9021
Management,Other Backward Classes,Male,73311
Management,Other Backward Classes,Female,56604
Management,Other Backward Classes,Total,129915
Management,Persons with Disability,Male,215
Management,Persons with Disability,Female,83
Management,Persons with Disability,Total,298
Management,Muslim,Male,10276
Management,Muslim,Female,6245
Management,Muslim,Total,16521
Management,Other Minority Communities,Male,6971
Management,Other Minority Communities,Female,5720
Management,Other Minority Communities,Total,12691
Management,EWS,Male,2137
Management,EWS,Female,1684
Management,EWS,Total,3821
Medical Science,All Categories,Male,156490
Medical Science,All Categories,Female,139980
Medical Science,All Categories,Total,296470
Medical Science,Scheduled Caste,Male,13444
Medical Science,Scheduled Caste,Female,12516
Medical Science,Scheduled Caste,Total,25960
Medical Science,Scheduled Tribe,Male,4513
Medical Science,Scheduled Tribe,Female,4558
Medical Science,Scheduled Tribe,Total,9071
Medical Science,Other Backward Classes,Male,51569
Medical Science,Other Backward Classes,Female,43807
Medical Science,Other Backward Classes,Total,95376
Medical Science,Persons with Disability,Male,148
Medical Science,Persons with Disability,Female,230
Medical Science,Persons with Disability,Total,378
Medical Science,Muslim,Male,8329
Medical Science,Muslim,Female,6305
Medical Science,Muslim,Total,14634
Medical Science,Other Minority Communities,Male,2430
Medical Science,Other Minority Communities,Female,2927
Medical Science,Other Minority Communities,Total,5357
Medical Science,EWS,Male,1909
Medical Science,EWS,Female,1255
Medical Science,EWS,Total,3164
Oriental Learning,All Categories,Male,16181
Oriental Learning,All Categories,Female,11557
Oriental Learning,All Categories,Total,27738
Oriental Learning,Scheduled Caste,Male,747
Oriental Learning,Scheduled Caste,Female,971
Oriental Learning,Scheduled Caste,Total,1718
Oriental Learning,Scheduled Tribe,Male,483
Oriental Learning,Scheduled Tribe,Female,630
Oriental Learning,Scheduled Tribe,Total,1113
Oriental Learning,Other Backward Classes,Male,2136
Oriental Learning,Other Backward Classes,Female,2485
