year,level,state,board,gender,registered,appeared,passed_annual_and_supp,pass_percentage
2024,Class X,Madhya Pradesh,"Maharshi Patanjali Sanskrit Sansthan,Bhopal(Madhya Pradesh)",Girls,1642,1565,1144,73.1
2024,Class X,Madhya Pradesh,"Maharshi Patanjali Sanskrit Sansthan,Bhopal(Madhya Pradesh)",Total,5814,5543,4016,72.45
2024,Class X,Madhya Pradesh,"Maharshi Sandipani Rashtriya veda Sanskrit Shiksha Board, Ujjain",Boys,1043,1023,966,94.43
2024,Class X,Madhya Pradesh,"Maharshi Sandipani Rashtriya veda Sanskrit Shiksha Board, Ujjain",Girls,7,7,7,100.0
2024,Class X,Madhya Pradesh,"Maharshi Sandipani Rashtriya veda Sanskrit Shiksha Board, Ujjain",Total,1050,1030,973,94.47
2024,Class X,Maharashtra,Maharashtra State Board of Secondary & Higher Secondary Education,Boys,882332,874836,805475,92.07
2024,Class X,Maharashtra,Maharashtra State Board of Secondary & Higher Secondary Education,Girls,758891,753534,723924,96.07
2024,Class X,Maharashtra,Maharashtra State Board of Secondary & Higher Secondary Education,Total,1641223,1628370,1529399,93.92
2024,Class X,Manipur,"Board of Secondary Education, Manipur",Boys,19087,18995,18576,97.79
2024,Class X,Manipur,"Board of Secondary Education, Manipur",Girls,18628,18552,18148,97.82
2024,Class X,Manipur,"Board of Secondary Education, Manipur",Total,37715,37547,36724,97.81
2024,Class X,Meghalaya,Meghalaya Board of School Education,Boys,23233,22760,12648,55.57
2024,Class X,Meghalaya,Meghalaya Board of School Education,Girls,31929,31350,17553,55.99
2024,Class X,Meghalaya,Meghalaya Board of School Education,Total,55162,54110,30201,55.81
2024,Class X,Mizoram,Mizoram Board of School Education,Boys,8873,8654,6451,74.54
2024,Class X,Mizoram,Mizoram Board of School Education,Girls,10122,9907,7202,72.7
2024,Class X,Mizoram,Mizoram Board of School Education,Total,18995,18561,13653,73.56
2024,Class X,Nagaland,Nagaland Board of School Education,Boys,10392,10109,7134,70.57
2024,Class X,Nagaland,Nagaland Board of School Education,Girls,11822,11580,8455,73.01
2024,Class X,Nagaland,Nagaland Board of School Education,Total,22214,21689,15589,71.88
2024,Class X,New Delhi,Rashtriya Sanskrit Sansthan New delhi,Boys,405,367,315,85.83
2024,Class X,New Delhi,Rashtriya Sanskrit Sansthan New delhi,Girls,160,134,113,84.33
2024,Class X,New Delhi,Rashtriya Sanskrit Sansthan New delhi,Total,565,501,428,85.43
2024,Class X,New Delhi,Delhi Board of School Education (DBSE),Boys,1377,1377,1377,100.0
2024,Class X,New Delhi,Delhi Board of School Education (DBSE),Girls,1142,1142,1142,100.0
2024,Class X,New Delhi,Delhi Board of School Education (DBSE),Total,2519,2519,2519,100.0
2024,Class X,Odisha,"Board of Secondary Education, Odisha",Boys,275198,269045,262683,97.64
2024,Class X,Odisha,"Board of Secondary Education, Odisha",Girls,276783,272030,267900,98.48
2024,Class X,Odisha,"Board of Secondary Education, Odisha",Total,551981,541075,530583,98.06
2024,Class X,Punjab,Punjab School Education Board,Boys,157531,153877,147667,95.96
