programme,social_category,gender,out_turn
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Muslim,Male,58
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Muslim,Female,183
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Muslim,Total,241
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Other Minority Communities,Male,30
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Other Minority Communities,Female,145
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",Other Minority Communities,Total,175
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",EWS,Male,119
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",EWS,Female,94
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",EWS,Total,213
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",All Categories,Male,12042
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",All Categories,Female,9412
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",All Categories,Total,21454
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Scheduled Caste,Male,1307
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Scheduled Caste,Female,1021
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Scheduled Caste,Total,2328
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Scheduled Tribe,Male,359
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Scheduled Tribe,Female,318
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Scheduled Tribe,Total,677
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Other Backward Classes,Male,2754
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Other Backward Classes,Female,1864
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Other Backward Classes,Total,4618
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Persons with Disability,Male,26
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Persons with Disability,Female,7
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Persons with Disability,Total,33
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Muslim,Male,512
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Muslim,Female,346
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Muslim,Total,858
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Other Minority Communities,Male,136
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Other Minority Communities,Female,184
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",Other Minority Communities,Total,320
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",EWS,Male,102
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",EWS,Female,58
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",EWS,Total,160
B.A.(Hons)-Bachelor of Arts (Honors),All Categories,Male,175802
B.A.(Hons)-Bachelor of Arts (Honors),All Categories,Female,227304
B.A.(Hons)-Bachelor of Arts (Honors),All Categories,Total,403106
B.A.(Hons)-Bachelor of Arts (Honors),Scheduled Caste,Male,21890
B.A.(Hons)-Bachelor of Arts (Honors),Scheduled Caste,Female,24394
B.A.(Hons)-Bachelor of Arts (Honors),Scheduled Caste,Total,46284
B.A.(Hons)-Bachelor of Arts (Honors),Scheduled Tribe,Male,17190
B.A.(Hons)-Bachelor of Arts (Honors),Scheduled Tribe,Female,22295
B.A.(Hons)-Bachelor of Arts (Honors),Scheduled Tribe,Total,39485
B.A.(Hons)-Bachelor of Arts (Honors),Other Backward Classes,Male,55659
B.A.(Hons)-Bachelor of Arts (Honors),Other Backward Classes,Female,61789
B.A.(Hons)-Bachelor of Arts (Honors),Other Backward Classes,Total,117448
B.A.(Hons)-Bachelor of Arts (Honors),Persons with Disability,Male,87
B.A.(Hons)-Bachelor of Arts (Honors),Persons with Disability,Female,119
B.A.(Hons)-Bachelor of Arts (Honors),Persons with Disability,Total,206
B.A.(Hons)-Bachelor of Arts (Honors),Muslim,Male,12003
B.A.(Hons)-Bachelor of Arts (Honors),Muslim,Female,13993
B.A.(Hons)-Bachelor of Arts (Honors),Muslim,Total,25996
B.A.(Hons)-Bachelor of Arts (Honors),Other Minority Communities,Male,2258
B.A.(Hons)-Bachelor of Arts (Honors),Other Minority Communities,Female,3822
B.A.(Hons)-Bachelor of Arts (Honors),Other Minority Communities,Total,6080
B.A.(Hons)-Bachelor of Arts (Honors),EWS,Male,1143
B.A.(Hons)-Bachelor of Arts (Honors),EWS,Female,1287
B.A.(Hons)-Bachelor of Arts (Honors),EWS,Total,2430
B.A.-Bachelor of Arts,All Categories,Male,1110737
B.A.-Bachelor of Arts,All Categories,Female,1305578
B.A.-Bachelor of Arts,All Categories,Total,2416315
B.A.-Bachelor of Arts,Scheduled Caste,Male,181750
B.A.-Bachelor of Arts,Scheduled Caste,Female,205335
B.A.-Bachelor of Arts,Scheduled Caste,Total,387085
B.A.-Bachelor of Arts,Scheduled Tribe,Male,89509
B.A.-Bachelor of Arts,Scheduled Tribe,Female,98558
B.A.-Bachelor of Arts,Scheduled Tribe,Total,188067
B.A.-Bachelor of Arts,Other Backward Classes,Male,392065
B.A.-Bachelor of Arts,Other Backward Classes,Female,463921
B.A.-Bachelor of Arts,Other Backward Classes,Total,855986
B.A.-Bachelor of Arts,Persons with Disability,Male,1217
B.A.-Bachelor of Arts,Persons with Disability,Female,1283
B.A.-Bachelor of Arts,Persons with Disability,Total,2500
B.A.-Bachelor of Arts,Muslim,Male,31591
B.A.-Bachelor of Arts,Muslim,Female,54593
B.A.-Bachelor of Arts,Muslim,Total,86184
B.A.-Bachelor of Arts,Other Minority Communities,Male,8995
B.A.-Bachelor of Arts,Other Minority Communities,Female,15578
B.A.-Bachelor of Arts,Other Minority Communities,Total,24573
B.A.-Bachelor of Arts,EWS,Male,6400
B.A.-Bachelor of Arts,EWS,Female,8064
B.A.-Bachelor of Arts,EWS,Total,14464
B.A.M.-Bachelor of Ayurved Medicine,All Categories,Male,274
B.A.M.-Bachelor of Ayurved Medicine,All Categories,Female,547
B.A.M.-Bachelor of Ayurved Medicine,All Categories,Total,821
B.A.M.-Bachelor of Ayurved Medicine,Scheduled Caste,Male,18
B.A.M.-Bachelor of Ayurved Medicine,Scheduled Caste,Female,36
B.A.M.-Bachelor of Ayurved Medicine,Scheduled Caste,Total,54
B.A.M.-Bachelor of Ayurved Medicine,Scheduled Tribe,Male,18
B.A.M.-Bachelor of Ayurved Medicine,Scheduled Tribe,Female,21
B.A.M.-Bachelor of Ayurved Medicine,Scheduled Tribe,Total,39
B.A.M.-Bachelor of Ayurved Medicine,Other Backward Classes,Male,94
B.A.M.-Bachelor of Ayurved Medicine,Other Backward Classes,Female,201
B.A.M.-Bachelor of Ayurved Medicine,Other Backward Classes,Total,295
B.A.M.-Bachelor of Ayurved Medicine,Persons with Disability,Male,0
B.A.M.-Bachelor of Ayurved Medicine,Persons with Disability,Female,0
B.A.M.-Bachelor of Ayurved Medicine,Persons with Disability,Total,0
B.A.M.-Bachelor of Ayurved Medicine,Muslim,Male,4
B.A.M.-Bachelor of Ayurved Medicine,Muslim,Female,22
B.A.M.-Bachelor of Ayurved Medicine,Muslim,Total,26
B.A.M.-Bachelor of Ayurved Medicine,Other Minority Communities,Male,0
B.A.M.-Bachelor of Ayurved Medicine,Other Minority Communities,Female,1
B.A.M.-Bachelor of Ayurved Medicine,Other Minority Communities,Total,1
B.A.M.-Bachelor of Ayurved Medicine,EWS,Male,3
B.A.M.-Bachelor of Ayurved Medicine,EWS,Female,4
B.A.M.-Bachelor of Ayurved Medicine,EWS,Total,7
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,All Categories,Male,3837
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,All Categories,Female,5993
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,All Categories,Total,9830
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Scheduled Caste,Male,328
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Scheduled Caste,Female,557
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Scheduled Caste,Total,885
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Scheduled Tribe,Male,120
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Scheduled Tribe,Female,195
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Scheduled Tribe,Total,315
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Other Backward Classes,Male,1302
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Other Backward Classes,Female,1983
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Other Backward Classes,Total,3285
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Persons with Disability,Male,2
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Persons with Disability,Female,2
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Persons with Disability,Total,4
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Muslim,Male,147
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Muslim,Female,109
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Muslim,Total,256
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Other Minority Communities,Male,96
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Other Minority Communities,Female,124
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,Other Minority Communities,Total,220
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,EWS,Male,31
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,EWS,Female,23
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,EWS,Total,54
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,All Categories,Male,185
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,All Categories,Female,472
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,All Categories,Total,657
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Scheduled Caste,Male,17
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Scheduled Caste,Female,23
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Scheduled Caste,Total,40
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Scheduled Tribe,Male,2
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Scheduled Tribe,Female,4
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Scheduled Tribe,Total,6
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Other Backward Classes,Male,72
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Other Backward Classes,Female,274
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Other Backward Classes,Total,346
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Persons with Disability,Male,0
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Persons with Disability,Female,0
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Persons with Disability,Total,0
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Muslim,Male,7
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Muslim,Female,41
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Muslim,Total,48
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Other Minority Communities,Male,6
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Other Minority Communities,Female,46
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,Other Minority Communities,Total,52
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,EWS,Male,1
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,EWS,Female,6
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,EWS,Total,7
B.Agri.-Bachelor of Agriculture,All Categories,Male,24647
B.Agri.-Bachelor of Agriculture,All Categories,Female,7817
B.Agri.-Bachelor of Agriculture,All Categories,Total,32464
B.Agri.-Bachelor of Agriculture,Scheduled Caste,Male,2988
B.Agri.-Bachelor of Agriculture,Scheduled Caste,Female,991
B.Agri.-Bachelor of Agriculture,Scheduled Caste,Total,3979
B.Agri.-Bachelor of Agriculture,Scheduled Tribe,Male,1111
B.Agri.-Bachelor of Agriculture,Scheduled Tribe,Female,555
B.Agri.-Bachelor of Agriculture,Scheduled Tribe,Total,1666
B.Agri.-Bachelor of Agriculture,Other Backward Classes,Male,10513
B.Agri.-Bachelor of Agriculture,Other Backward Classes,Female,2880
B.Agri.-Bachelor of Agriculture,Other Backward Classes,Total,13393
B.Agri.-Bachelor of Agriculture,Persons with Disability,Male,36
B.Agri.-Bachelor of Agriculture,Persons with Disability,Female,8
B.Agri.-Bachelor of Agriculture,Persons with Disability,Total,44
B.Agri.-Bachelor of Agriculture,Muslim,Male,284
B.Agri.-Bachelor of Agriculture,Muslim,Female,186
B.Agri.-Bachelor of Agriculture,Muslim,Total,470
B.Agri.-Bachelor of Agriculture,Other Minority Communities,Male,93
B.Agri.-Bachelor of Agriculture,Other Minority Communities,Female,107
B.Agri.-Bachelor of Agriculture,Other Minority Communities,Total,200
B.Agri.-Bachelor of Agriculture,EWS,Male,178
B.Agri.-Bachelor of Agriculture,EWS,Female,50
B.Agri.-Bachelor of Agriculture,EWS,Total,228
B.Architecture-Bachelor of Architecture,All Categories,Male,6027
B.Architecture-Bachelor of Architecture,All Categories,Female,7514
B.Architecture-Bachelor of Architecture,All Categories,Total,13541
B.Architecture-Bachelor of Architecture,Scheduled Caste,Male,240
B.Architecture-Bachelor of Architecture,Scheduled Caste,Female,262
B.Architecture-Bachelor of Architecture,Scheduled Caste,Total,502
B.Architecture-Bachelor of Architecture,Scheduled Tribe,Male,72
B.Architecture-Bachelor of Architecture,Scheduled Tribe,Female,71
B.Architecture-Bachelor of Architecture,Scheduled Tribe,Total,143
B.Architecture-Bachelor of Architecture,Other Backward Classes,Male,1639
B.Architecture-Bachelor of Architecture,Other Backward Classes,Female,1783
B.Architecture-Bachelor of Architecture,Other Backward Classes,Total,3422
B.Architecture-Bachelor of Architecture,Persons with Disability,Male,38
B.Architecture-Bachelor of Architecture,Persons with Disability,Female,45
B.Architecture-Bachelor of Architecture,Persons with Disability,Total,83
B.Architecture-Bachelor of Architecture,Muslim,Male,386
B.Architecture-Bachelor of Architecture,Muslim,Female,307
B.Architecture-Bachelor of Architecture,Muslim,Total,693
B.Architecture-Bachelor of Architecture,Other Minority Communities,Male,310
B.Architecture-Bachelor of Architecture,Other Minority Communities,Female,378
B.Architecture-Bachelor of Architecture,Other Minority Communities,Total,688
B.Architecture-Bachelor of Architecture,EWS,Male,32
B.Architecture-Bachelor of Architecture,EWS,Female,22
B.Architecture-Bachelor of Architecture,EWS,Total,54
"B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws",All Categories,Male,1790
"B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws",All Categories,Female,1531
"B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws",All Categories,Total,3321
"B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws",Scheduled Caste,Male,59
"B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws",Scheduled Caste,Female,48
"B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws",Scheduled Caste,Total,107
"B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws",Scheduled Tribe,Male,16
"B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws",Scheduled Tribe,Female,17
